,Timestamp,Id,SequenceId,SequenceSet,VectorGazeX,VectorGazeY,VectorGazeZ,GazeX,GazeY
5129,638345129003771074,1451.0,1.0,1.0,-0.1754243,-0.1564568,0.9719813,2342.158902436495,2282.283991575241
5130,638345129004291141,1451.0,1.0,1.0,-0.1646031,-0.1318944,0.9775017,2382.7383778989315,2159.4719737768173
5131,638345129004736813,1451.0,1.0,1.0,-0.14628,-0.1208771,0.9818304,2451.449979096651,2104.385510087013
5132,638345129005294267,1451.0,1.0,1.0,-0.06896342,-0.1333769,0.9886631,2741.3871623575687,2166.884481906891
5133,638345129005740836,1451.0,1.0,1.0,0.03008458,-0.1497258,0.9882697,3112.8171756863594,2248.6289739608765
5134,638345129006777488,1451.0,1.0,1.0,0.02241921,-0.1452097,0.9891469,3084.072039462626,2226.0484993457794
5135,638345129007273385,1451.0,1.0,1.0,-0.03436016,-0.1624889,0.9861119,2871.1494030430918,2312.4444633722305
5136,638345129007755190,1451.0,1.0,1.0,0.01475467,-0.2069047,0.9782498,3055.3300115279853,2534.5234721899037
5137,638345129008798345,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5138,638345129009295876,1451.0,1.0,1.0,0.1882562,-0.1392982,0.9721912,3705.960765480995,2196.491003036499
5139,638345129009756306,1451.0,1.0,1.0,0.1762098,-0.1338588,0.9752086,3660.786777734757,2169.293999671936
5140,638345129010804743,1451.0,1.0,1.0,0.1944201,-0.1256553,0.9728369,3729.0753722190857,2128.276467323303
5141,638345129011318298,1451.0,1.0,1.0,0.1412525,-0.1525714,0.9781461,3529.696885496378,2262.856975197792
5142,638345129012425274,1451.0,1.0,1.0,0.1910142,-0.1459797,0.9706718,3716.303251683712,2229.898512363434
5143,638345129012921818,1451.0,1.0,1.0,0.4384202,-0.09600048,0.8936283,4644.075773656368,1980.002388358116
5144,638345129013966807,1451.0,1.0,1.0,0.4321148,-0.1038613,0.8958179,4620.430536568165,2019.3065106868744
5145,638345129014442057,1451.0,1.0,1.0,0.4347557,-0.09972898,0.8950093,4630.333922803402,1998.644895851612
5146,638345129014921345,1451.0,1.0,1.0,0.4157608,-0.097233,0.9042615,4559.102945029736,1986.1649870872495
5147,638345129015461870,1451.0,1.0,1.0,0.3810759,-0.1233089,0.9162838,4429.03458327055,2116.544485092163
5148,638345129015926800,1451.0,1.0,1.0,0.417549,-0.1056522,0.9024913,4565.808802843094,2028.2609909772875
5149,638345129016487732,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5150,638345129017442696,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5151,638345129017943651,1451.0,1.0,1.0,0.60058,-0.05889563,0.7973926,5252.174913883209,1794.4781444966793
5152,638345129018972227,1451.0,1.0,1.0,0.5866913,-0.06331316,0.8073319,5200.092449784279,1816.565781831741
5153,638345129019468202,1451.0,1.0,1.0,0.583418,-0.05007116,0.8106272,5187.817543745041,1750.3558062016964
5154,638345129019925413,1451.0,1.0,1.0,0.6002272,-0.05961586,0.7976047,5250.8519142866135,1798.0793081223965
5155,638345129020969854,1451.0,1.0,1.0,0.5272524,-0.08306267,0.8456391,4977.196410298348,1915.313355624676
5156,638345129021472480,1451.0,1.0,1.0,0.5619841,-0.05742672,0.8251522,5107.440456748009,1787.1336042881012
5157,638345129021952538,1451.0,1.0,1.0,0.5714108,-0.06170755,0.818341,5142.790406942368,1808.537743985653
5158,638345129022993336,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5159,638345129023488713,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5160,638345129023952727,1451.0,1.0,1.0,0.5473291,-0.04961186,0.8354457,5052.484229207039,1748.059295117855
5161,638345129025016363,1451.0,1.0,1.0,0.5417806,-0.05203303,0.8389079,5031.677216291428,1760.1651474833488
5162,638345129025511296,1451.0,1.0,1.0,0.5351083,-0.0551351,0.8429824,5006.656229496002,1775.675505399704
5163,638345129026579735,1451.0,1.0,1.0,0.5454826,-0.05176716,0.8365219,5045.559659600258,1758.8357962667942
5164,638345129027192893,1451.0,1.0,1.0,0.5365625,-0.04129082,0.8428497,5012.109383940697,1706.45409822464
5165,638345129027678498,1451.0,1.0,1.0,0.4103045,-0.05656316,0.9101927,4538.6418253183365,1782.815806567669
5166,638345129028194222,1451.0,1.0,1.0,0.417674,-0.0587018,0.9066987,4566.277518868446,1793.508991599083
5167,638345129028682172,1451.0,1.0,1.0,0.4146918,-0.05091807,0.9085363,4555.09427189827,1754.590343683958
5168,638345129029198051,1451.0,1.0,1.0,0.4170413,-0.06366058,0.9066554,4563.904881477356,1818.302884697914
5169,638345129029681543,1451.0,1.0,1.0,0.4148969,-0.06928654,0.9072265,4555.86339533329,1846.432700753212
5170,638345129030196957,1451.0,1.0,1.0,0.4032229,-0.08151576,0.9114639,4512.08583265543,1907.5787961483
5171,638345129030680313,1451.0,1.0,1.0,0.3930753,-0.07663073,0.9163075,4474.032327532768,1883.1536322832108
5172,638345129031787525,1451.0,1.0,1.0,0.3899979,-0.09020121,0.9163871,4462.492123246193,1951.006032526493
5173,638345129032802705,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5174,638345129033825048,1451.0,1.0,1.0,0.01139158,-0.1376877,0.9904102,3042.718425393105,2188.4384900331497
5175,638345129034866283,1451.0,1.0,1.0,0.01346497,-0.05683753,0.9982927,3050.493635935709,1784.1876447200775
5176,638345129035361463,1451.0,1.0,1.0,0.006140292,-0.06179421,0.9980701,3023.026095586829,1808.9710511267183
5177,638345129035842282,1451.0,1.0,1.0,0.008391455,-0.07228466,0.9973487,3031.467955559492,1861.4233061671257
5178,638345129036368986,1451.0,1.0,1.0,0.01663493,-0.07181371,0.9972793,3062.3809872195125,1859.068550169468
5179,638345129036843048,1451.0,1.0,1.0,0.1235677,-0.05042157,0.9910544,3463.3788764476776,1752.107847481966
5180,638345129037283760,1451.0,1.0,1.0,0.115358,-0.04759705,0.992183,3432.592509314418,1737.9852533340454
5181,638345129038347063,1451.0,1.0,1.0,0.1104783,-0.05013181,0.9926134,3414.2936132848263,1750.6590448319912
5182,638345129038853613,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5183,638345129039284558,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5184,638345129039930042,1451.0,1.0,1.0,0.08353584,-0.08832552,0.9925827,3313.259409740567,1941.6276142001152
5185,638345129040993568,1451.0,1.0,1.0,0.0793222,-0.09617571,0.9921988,3297.458237037062,1980.8785393834116
5186,638345129042012005,1451.0,1.0,1.0,0.06030394,-0.08805431,0.9942886,3226.139780133962,1940.271534025669
5187,638345129043033785,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5188,638345129043551636,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
